annee;ind_GSI;GSI_1;GSI_2;GSI_3;MOY_GSI_2;MOY_GSI_3
1966;0.7519;NA;NA;NA;NA;NA
1967;-0.2202;0.7519;NA;NA;0.7519;0.7519
1968;0.4457;-0.2202;0.7519;NA;0.26585;0.26585
1969;-0.5833;0.4457;-0.2202;0.7519;0.11275;0.3258
1970;-1.0397;-0.5833;0.4457;-0.2202;-0.0688;-0.119266667
1971;-1.7312;-1.0397;-0.5833;0.4457;-0.8115;-0.392433333
1972;-1.2163;-1.7312;-1.0397;-0.5833;-1.38545;-1.118066667
1973;-1.2562;-1.2163;-1.7312;-1.0397;-1.47375;-1.329066667
1974;-0.7219;-1.2562;-1.2163;-1.7312;-1.23625;-1.401233333
1975;0.0346;-0.7219;-1.2562;-1.2163;-0.98905;-1.0648
1976;-0.6578;0.0346;-0.7219;-1.2562;-0.34365;-0.647833333
1977;-0.1485;-0.6578;0.0346;-0.7219;-0.3116;-0.448366667
1978;-0.8932;-0.1485;-0.6578;0.0346;-0.40315;-0.257233333
1979;-1.3722;-0.8932;-0.1485;-0.6578;-0.52085;-0.5665
1980;-0.2557;-1.3722;-0.8932;-0.1485;-1.1327;-0.804633333
1981;-0.6132;-0.2557;-1.3722;-0.8932;-0.81395;-0.840366667
1982;-0.9917;-0.6132;-0.2557;-1.3722;-0.43445;-0.747033333
1983;0.0089;-0.9917;-0.6132;-0.2557;-0.80245;-0.6202
1984;0.4655;0.0089;-0.9917;-0.6132;-0.4914;-0.532
1985;1.055;0.4655;0.0089;-0.9917;0.2372;-0.172433333
1986;-0.2552;1.055;0.4655;0.0089;0.76025;0.5098
1987;-0.466;-0.2552;1.055;0.4655;0.3999;0.421766667
1988;0.0149;-0.466;-0.2552;1.055;-0.3606;0.111266667
1989;0.3077;0.0149;-0.466;-0.2552;-0.22555;-0.235433333
1990;0.6383;0.3077;0.0149;-0.466;0.1613;-0.0478
1991;1.0371;0.6383;0.3077;0.0149;0.473;0.3203
1992;1.0111;1.0371;0.6383;0.3077;0.8377;0.661033333
1993;0.7524;1.0111;1.0371;0.6383;1.0241;0.8955
1994;1.2598;0.7524;1.0111;1.0371;0.88175;0.933533333
1995;1.8608;1.2598;0.7524;1.0111;1.0061;1.007766667
1996;-0.1228;1.8608;1.2598;0.7524;1.5603;1.291
1997;-0.3263;-0.1228;1.8608;1.2598;0.869;0.999266667
1998;-0.5992;-0.3263;-0.1228;1.8608;-0.22455;0.470566667
1999;-0.1234;-0.5992;-0.3263;-0.1228;-0.46275;-0.349433333
2000;1.1881;-0.1234;-0.5992;-0.3263;-0.3613;-0.349633333
2001;1.2592;1.1881;-0.1234;-0.5992;0.53235;0.155166667
2002;0.8922;1.2592;1.1881;-0.1234;1.22365;0.774633333
2003;-0.0524;0.8922;1.2592;1.1881;1.0757;1.113166667
2004;-0.7442;-0.0524;0.8922;1.2592;0.4199;0.699666667
2005;-0.1512;-0.7442;-0.0524;0.8922;-0.3983;0.031866667
2006;0.5969;-0.1512;-0.7442;-0.0524;-0.4477;-0.315933333
2007;0.37;0.5969;-0.1512;-0.7442;0.22285;-0.0995
2008;-0.1878;0.37;0.5969;-0.1512;0.48345;0.2719
2009;0.0989;-0.1878;0.37;0.5969;0.0911;0.2597
2010;-0.1681;0.0989;-0.1878;0.37;-0.04445;0.0937
2011;-0.8181;-0.1681;0.0989;-0.1878;-0.0346;-0.085666667
2012;0.8203;-0.8181;-0.1681;0.0989;-0.4931;-0.295766667
2013;0.1266;0.8203;-0.8181;-0.1681;0.0011;-0.0553
2014;0.7198;0.1266;0.8203;-0.8181;0.47345;0.042933333
2015;NA;0.7198;0.1266;0.8203;0.4232;0.555566667
