annee;ind_NAO;NAO_1;NAO_2;NAO_3;MOY_NAO_2;MOY_NAO_3
1950;-0.120833333;NA;NA;NA;NA;NA
1951;-0.008333333;-0.120833333;NA;NA;-0.120833333;-0.120833333
1952;-0.425;-0.008333333;-0.120833333;NA;-0.064583333;-0.064583333
1953;-0.0175;-0.425;-0.008333333;-0.120833333;-0.216666667;-0.184722222
1954;0.0025;-0.0175;-0.425;-0.008333333;-0.22125;-0.150277778
1955;-0.399166667;0.0025;-0.0175;-0.425;-0.0075;-0.146666667
1956;-0.044166667;-0.399166667;0.0025;-0.0175;-0.198333334;-0.138055556
1957;-0.195833333;-0.044166667;-0.399166667;0.0025;-0.221666667;-0.146944445
1958;-0.589166667;-0.195833333;-0.044166667;-0.399166667;-0.12;-0.213055556
1959;0.3525;-0.589166667;-0.195833333;-0.044166667;-0.3925;-0.276388889
1960;-0.41;0.3525;-0.589166667;-0.195833333;-0.118333334;-0.144166667
1961;0.043333333;-0.41;0.3525;-0.589166667;-0.02875;-0.215555556
1962;-0.341666667;0.043333333;-0.41;0.3525;-0.183333334;-0.004722222
1963;-0.416666667;-0.341666667;0.043333333;-0.41;-0.149166667;-0.236111111
1964;-0.041666667;-0.416666667;-0.341666667;0.043333333;-0.379166667;-0.238333334
1965;-0.13;-0.041666667;-0.416666667;-0.341666667;-0.229166667;-0.266666667
1966;-0.328333333;-0.13;-0.041666667;-0.416666667;-0.085833334;-0.196111111
1967;0.366666667;-0.328333333;-0.13;-0.041666667;-0.229166667;-0.166666667
1968;-0.94;0.366666667;-0.328333333;-0.13;0.019166667;-0.030555555
1969;-0.058333333;-0.94;0.366666667;-0.328333333;-0.286666667;-0.300555555
1970;-0.253333333;-0.058333333;-0.94;0.366666667;-0.499166667;-0.210555555
1971;0.01;-0.253333333;-0.058333333;-0.94;-0.155833333;-0.417222222
1972;0.51;0.01;-0.253333333;-0.058333333;-0.121666667;-0.100555555
1973;-0.086666667;0.51;0.01;-0.253333333;0.26;0.088888889
1974;0.180833333;-0.086666667;0.51;0.01;0.211666667;0.144444444
1975;-0.074166667;0.180833333;-0.086666667;0.51;0.047083333;0.201388889
1976;0.1875;-0.074166667;0.180833333;-0.086666667;0.053333333;0.006666666
1977;-0.335833333;0.1875;-0.074166667;0.180833333;0.056666667;0.098055555
1978;0.3175;-0.335833333;0.1875;-0.074166667;-0.074166667;-0.074166667
1979;0.135;0.3175;-0.335833333;0.1875;-0.009166667;0.056388889
1980;-0.4125;0.135;0.3175;-0.335833333;0.22625;0.038888889
1981;-0.2125;-0.4125;0.135;0.3175;-0.13875;0.013333333
1982;0.43;-0.2125;-0.4125;0.135;-0.3125;-0.163333333
1983;0.31;0.43;-0.2125;-0.4125;0.10875;-0.065
1984;0.2475;0.31;0.43;-0.2125;0.37;0.175833333
1985;-0.183333333;0.2475;0.31;0.43;0.27875;0.329166667
1986;0.503333333;-0.183333333;0.2475;0.31;0.032083334;0.124722222
1987;-0.1225;0.503333333;-0.183333333;0.2475;0.16;0.189166667
1988;-0.013333333;-0.1225;0.503333333;-0.183333333;0.190416667;0.065833333
1989;0.701666667;-0.013333333;-0.1225;0.503333333;-0.067916667;0.1225
1990;0.594166667;0.701666667;-0.013333333;-0.1225;0.344166667;0.188611111
1991;0.268333333;0.594166667;0.701666667;-0.013333333;0.647916667;0.4275
1992;0.580833333;0.268333333;0.594166667;0.701666667;0.43125;0.521388889
1993;0.179166667;0.580833333;0.268333333;0.594166667;0.424583333;0.481111111
1994;0.575833333;0.179166667;0.580833333;0.268333333;0.38;0.342777778
1995;-0.080833333;0.575833333;0.179166667;0.580833333;0.3775;0.445277778
1996;-0.214166667;-0.080833333;0.575833333;0.179166667;0.2475;0.224722222
1997;-0.156666667;-0.214166667;-0.080833333;0.575833333;-0.1475;0.093611111
1998;-0.480833333;-0.156666667;-0.214166667;-0.080833333;-0.185416667;-0.150555556
1999;0.390833333;-0.480833333;-0.156666667;-0.214166667;-0.31875;-0.283888889
2000;0.206666667;0.390833333;-0.480833333;-0.156666667;-0.045;-0.082222222
2001;-0.1825;0.206666667;0.390833333;-0.480833333;0.29875;0.038888889
2002;0.039166667;-0.1825;0.206666667;0.390833333;0.012083334;0.138333333
2003;0.0975;0.039166667;-0.1825;0.206666667;-0.071666667;0.021111111
2004;0.2425;0.0975;0.039166667;-0.1825;0.068333334;-0.015277778
2005;-0.2675;0.2425;0.0975;0.039166667;0.17;0.126388889
2006;-0.2075;-0.2675;0.2425;0.0975;-0.0125;0.024166667
2007;0.173333333;-0.2075;-0.2675;0.2425;-0.2375;-0.0775
2008;-0.378333333;0.173333333;-0.2075;-0.2675;-0.017083334;-0.100555556
2009;-0.243333333;-0.378333333;0.173333333;-0.2075;-0.1025;-0.1375
2010;-1.1525;-0.243333333;-0.378333333;0.173333333;-0.310833333;-0.149444444
2011;0.293333333;-1.1525;-0.243333333;-0.378333333;-0.697916667;-0.591388889
2012;-0.455833333;0.293333333;-1.1525;-0.243333333;-0.429583334;-0.3675
2013;0.21;-0.455833333;0.293333333;-1.1525;-0.08125;-0.438333333
2014;0.186666667;0.21;-0.455833333;0.293333333;-0.122916667;0.015833333
2015;0.433333333;0.186666667;0.21;-0.455833333;0.198333334;-0.019722222
