Annee;Rzone1;Rzone2;Rzone3;Rzone4;Rzone5;Rzone6;Rglobal
1960;675070.121;2181177.58;2118869.041;1139473.698;2088634.26;2947377.99;10822752.8
1961;543132.815;1804208.21;1870354.442;972203.837;1787548.26;2694575.71;9404469.9
1962;672772.792;2365168.61;2149209.936;1020797.866;2048804.71;2841881.89;10852808.1
1963;569254.608;2536421.93;2000482.763;966780.211;1983464.05;2572237.45;10350343
1964;315994.237;1572245.59;1169381.743;626854.762;1640799.11;1699089.65;6850594.9
1965;406964.259;1813025.13;1403599.209;633000.597;1948419.45;1595507.95;7652034.9
1966;390196.927;1490475.39;1236763.966;495457.398;1656591.69;1243944.38;6413148.7
1967;262449.547;1719810.74;1290446.048;457427.818;1752147.11;1148090.91;6518886.7
1968;304283.693;2510638.44;1618866.796;509990.572;2387028.24;1300651.28;8486361.4
1969;135170.073;1579954.74;1159086.37;312791.039;1772189.14;774654.56;5630894
1970;322659.347;2016800.58;1408480.564;302194.562;2156226;765427.02;6862727.5
1971;335416.344;1401799.51;1144527.38;183808.454;1731238.05;426475.21;5143463.1
1972;342415.473;1273807.53;1021059.296;117971.267;1543572.98;323173.39;4559666.5
1973;335543.66;1280614.59;836661.077;128537.531;1549135.71;308571;4375645.7
1974;439731.463;1807048.39;1050122.779;169861.772;2235071.8;479018.71;6089156.7
1975;324750.763;1480705.49;848477.486;74170.168;2022190.42;572957.99;5226507.1
1976;360385.253;2449547.51;1184998.787;94320.958;3374270.65;1113442.34;8436071.2
1977;367350.341;2222653.75;1045344.604;181067.561;3625803.56;1166521.8;8464812.4
1978;403143.904;2437031;860280.301;255594.071;4191363.74;1117964.13;9118059.1
1979;418082.571;2633043.86;663569.022;272211.461;4094894.88;1130148.47;9080070.7
1980;465907.145;2031115.76;577660.863;207140.761;3718543.7;977920.11;7856450.3
1981;470026.299;1613107.76;520481.022;182768.651;3304191.66;794878.3;6770920.2
1982;423659.561;1600118.55;413904.199;188148.774;3224288.57;639817.68;6397909.1
1983;143947.194;1168165.29;246176.423;105904.961;2313572.09;442308.93;4342841.5
1984;195265.166;966533.6;150129.977;109579.288;2134485.8;446650.12;3927931.4
1985;185744.263;826725.41;132204.564;97218.151;1834673.56;381998.58;3397163.5
1986;218243.624;733688.4;104221.281;84633.436;1514597.96;213037.34;2817151.4
1987;303475.386;953433.13;99322.277;105204.479;1933165.58;548646.58;3872738.7
1988;274240.11;983459.84;113485.525;103745.137;1783057.52;725645.2;3916346.5
1989;190516.185;789473.44;73992.827;87100.09;1430303.17;576709.58;3096806.2
1990;198160.539;547888.21;105112.065;56769.595;1140988.72;382337.23;2395747.6
1991;97702.279;324051.16;54920.334;11218.528;747018.98;195109.41;1405183.7
1992;116420.661;522671.68;112348.34;23608.768;950345.96;166639.28;1861327
1993;136251.579;604223.29;127905.485;29994.681;990953.3;135943.8;1994466.4
1994;150886.148;548433.87;127715.57;33908.234;901828.06;93833.01;1830979.2
1995;217131.793;665752.28;98904.384;38720.791;989832.96;72944.18;2052048.6
1996;189501.649;509806.82;58905.653;32659.185;736984.2;75016.76;1582231.2
1997;208795.983;506508.05;60903.821;19071.965;637733.78;107180.79;1523485.9
1998;100398.076;383909.19;46317.16;22863.321;460601.56;115571.78;1115979.6
1999;100669.092;472258.17;59872.281;9095.068;440089.75;95874.6;1164883
2000;77993.197;483276.62;68526.031;10224.044;351669.16;70839.64;1049727.1
2001;29932.419;208008.25;17964.121;5663.298;178857.86;60370.95;494799.3
2002;60336.447;257074.95;44959.634;3458.292;215496.81;74846.08;649355.1
2003;66624.797;174357.56;33097.804;5134.863;172122.54;67914.02;513834.6
2004;40782.511;162962.65;17024.315;7050.052;136034.59;58632.7;418532.8
2005;36219.493;193218.97;21736.694;7453.079;160201.5;56622.92;470755.8
2006;19546.401;161744.77;10148.534;6392.371;142088.4;70614.02;405887.7
2007;24520.155;170346.82;16927.101;8242.025;141300.27;87401.95;444231.3
2008;10742.59;161255.29;12583.042;5638.338;132201.42;81050.96;398861.7
2009;11419.547;98428.6;10219.567;3057.997;88709.82;61045.19;268772.8
2010;8381.925;113427.12;7174.178;6417.331;130660.96;76015.16;336830
2011;5179.293;95188.74;7087.732;4876.92;124725.57;68405.58;299999.6
2012;18922.666;101712.98;11535.242;6959.335;133138.87;77102.73;342034.6
2013;30716.725;119723.09;19225.236;11295.777;169812.26;92917.51;434456.9
2014;31189.085;132106.73;30595.188;14670.813;198950.57;112155.83;508511.6
2015;18722.826;111518.39;18545.72;7210.998;179298.64;114950.87;439025.3
