Annee;Bann;Nalon;Rhine;Ijzer;Viskan;Erne;Ebrodeltalagoons;Vilaine;Severn;Albuferalagoon;Imsa;Gironde;GirondeCP;Loire;Shannon;Minho36;Minho 35;Minho total ;Lauwersoog;Rhingals;Katwijk;AdourCP;Ems;Tiber;Stellendam;GirondeSc;Adour;IYFS/IBTS 1;IYFS/IBTS 2;Bresle;Fremur;Vidaa;Somme;Feale;Inagh;Maigne;SevresNiortaise
1970;3992;18753;48.1;795;;600;2947;;;5000;;203.752;24.9791;453;;;;;;;;7.5;683;;;;;;;;;;;;;;15
1971;4157;17032;36.1;399;;540;2022;44;;1000;;47.0663;9.12125;330;;;;;;;;4.6;1684;;;;;;;;;787;;;;;12
1972;2905;11219;55;556.5;88;;1261;38;16.7;1000;;68.995;13.7316;311;;;;;;;;4.4;3894;;;;;;;;;780;;;;;11
1973;2524;11056;18.8;354;177;;1129;78;28.2;1000;;20.0363;29.192;292;;;;;;;;4.5;289;;;;;;;;;641;;;;;8.5
1974;5859;24481;63;946;13;794;1354;107;57.5;2000;;54.5641;21.4419;557;;;;;;;;7.4;4129;;;;;;;;;464;;;;;9
1975;4637;32611;84.3;274;99;392;2466;44;10.5;1000;51250;44.0968;12.4995;497;;50;1600;1650;;;;5;1031;11;;;;45;;;;888;;;;;8.5
1976;2920;55514;51.4;496;501;394;5626;106;13.1;6000;57750;120.898;34.001;770;;5000;5600;10600;15.4;;;11;4205;6.7;;;;655;;;;828;;;;;17
1977;6443;37661;75;472;850;138;;52;38.6;5000;34000;121.637;25.3765;677;1000;7500;12500;20000;;;130.25;;2172;5.9;;;;405;;;;91;;;;;15
1978;5034;59918;73.6;370;532.6;320;3400;106;61.2;;15000;64.6686;23.1708;526;1300;15000;21600;36600;;;30.23;;2024;3.6;;;;126;;;;335;;;;;18
1979;2089;37468;87.7;530;505.2;488;4177;209;67;;3000;73.1982;18.7393;642;6700;7000;17300;24300;100.4;;3.23;10;2774;8.4;;;;122;;;;220;;;;;17.5
1980;2486;42110;59;252;72.5;1434;3514;95;40.1;;41500;124.686;35.0542;526;4500;13000;15400;28400;;;171.6;5;3195;8.2;;;;6;;;;220;;;;;12
1981;3023;34645;50.4;90;513.1;2892;3800;57;36.9;;18500;84.9089;32.4112;303;2100;3000;13000;16000;75.9;983.306;31.65;;962;4;;;;134;;;;226;;;;;9
1982;3854;26295;29.4;129;472;4550;2636;98;48;1309;54250;61.0145;14.5463;274;3100;32000;18000;50000;21.6;697.18;4.13;;674;4;;;;90;;;;490;;;;;8.5
1983;242;21837;14.7;25;308.4;728;2327;69;16.9;640;19250;66.7093;14.3277;260;600;6700;9700;16400;15.8;601.94;2.1;;92;4;;;;355;;;;662;;;;;6
1984;1534;22541;31.6;6;20.7;1121;1815;36;25;2387;7607;45.0203;13.8707;183;500;16000;14000;30000;9.5;182.96;23.62;;352;1.8;;;;26;;;;123;;;;;
1985;557;12839;11.2;15;211.5;463;1690;41;20;2980;4971;26.9787;7.39238;154;1093;14800;15300;30100;25.2;291.46;6.67;2.4;260;2.5;;;;54;;;;13;;503;;;
1986;1848;13544;11.4;27.5;150.9;898;301;52.6;19;402;6723;35.3074;9.02189;123;948;7000;6000;13000;1.3;100.55;;1.5;89;0.2;;;8;72;;;;123;;;;;
1987;1683;23536;6.2;36.5;140.9;2367;2027;41.2;21.3;2845;4348;44.6434;9.00202;145;1610;9500;6539;16039;;75.14;14;3.3;8;7.4;;;9.5;24;;;;341;;;;;
1988;2647;15211;7;48.2;91.9;3033;;46.6;21.4;4255;18385;27.8963;7.55136;177;145;2600;5600;8200;1;158.91;;3.7;67;10.5;13.78;;12;19;;;;141;;;;;
1989;1568;13574;4.8;9.1;32.7;1781;;36.7;20.6;2513;8805;45.9376;8.90266;87;27;3000;7359;10359;14.3;173.38;3.67;4.1;13;5.5;4.37;;9;34;;;;9;;;;;
1990;2293;9216;4.9;218.2;42.1;2409;1108;35.9;20.9;1321;33138;29.2677;5.36544;96;467;4500;3962;8462;6;208.33;;1.2;99;4.4;10.86;;3.2;;;;;5;;;;;
