loc_name;dat_year;dat_value;rec_samplingtype;loc_area;rec_unit
Adour Estuary commercial catch;1986;8;commercial catch;Atlantic Ocean;t
Adour Estuary commercial catch;1987;9.5;commercial catch;Atlantic Ocean;t
Adour Estuary commercial catch;1988;12;commercial catch;Atlantic Ocean;t
Adour Estuary commercial catch;1989;9;commercial catch;Atlantic Ocean;t
Adour Estuary commercial catch;1990;3.2;commercial catch;Atlantic Ocean;t
Adour Estuary commercial catch;1991;1.5;commercial catch;Atlantic Ocean;t
Adour Estuary commercial catch;1992;8;commercial catch;Atlantic Ocean;t
Adour Estuary commercial catch;1993;5.5;commercial catch;Atlantic Ocean;t
Adour Estuary commercial catch;1994;3;commercial catch;Atlantic Ocean;t
Adour Estuary commercial catch;1995;7.5;commercial catch;Atlantic Ocean;t
Adour Estuary commercial catch;1996;4.1;commercial catch;Atlantic Ocean;t
Adour Estuary commercial catch;1997;4.6;commercial catch;Atlantic Ocean;t
Adour Estuary commercial catch;1998;1.5;commercial catch;Atlantic Ocean;t
Adour Estuary commercial catch;1999;4.3;commercial catch;Atlantic Ocean;t
Adour Estuary commercial catch;2000;10;commercial catch;Atlantic Ocean;t
Adour Estuary commercial catch;2001;2;commercial catch;Atlantic Ocean;t
Adour Estuary commercial catch;2002;1.8;commercial catch;Atlantic Ocean;t
Adour Estuary commercial catch;2003;0.6;commercial catch;Atlantic Ocean;t
Adour Estuary commercial catch;2004;1.8;commercial catch;Atlantic Ocean;t
Adour Estuary commercial catch;2005;3.2;commercial catch;Atlantic Ocean;t
Adour Estuary commercial catch;2006;1.7;commercial catch;Atlantic Ocean;t
Adour Estuary commercial catch;2007;1.4;commercial catch;Atlantic Ocean;t
Adour Estuary commercial catch;2008;1.7;commercial catch;Atlantic Ocean;t
Adour Estuary (CPUE) commercial CPUE;1928;5;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1929;5.5;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1930;6.7;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1931;18.7;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1966;5.1;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1967;6.4;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1968;10.1;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1969;5;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1970;7.5;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1971;4.6;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1972;4.4;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1973;4.5;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1974;7.4;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1975;5;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1976;11;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1979;10;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1980;5;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1985;2.4;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1986;1.5;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1987;3.3;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1988;3.7;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1989;4.1;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1990;1.2;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1991;0.7;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1992;2.9;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1993;2.4;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1994;1.4;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1995;2.6;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1996;1.53;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1997;1.6;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1998;1.07;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;1999;1.82;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;2000;4.43;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;2001;0.49;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;2002;0.89;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;2003;0.31;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;2004;0.6;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;2005;1.13;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;2006;0.72;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;2007;0.66;commercial CPUE;Atlantic Ocean;cpue        
Adour Estuary (CPUE) commercial CPUE;2008;1.05;commercial CPUE;Atlantic Ocean;cpue        
Albufera de Valencia commercial catch;1949;9319;commercial catch;Mediterannean Sea;Kg          
Albufera de Valencia commercial catch;1950;3828;commercial catch;Mediterannean Sea;Kg          
Albufera de Valencia commercial catch;1951;2093;commercial catch;Mediterannean Sea;Kg          
Albufera de Valencia commercial catch;1953;2535;commercial catch;Mediterannean Sea;Kg          
Albufera de Valencia commercial catch;1954;5910;commercial catch;Mediterannean Sea;Kg          
Albufera de Valencia commercial catch;1955;906;commercial catch;Mediterannean Sea;Kg          
Albufera de Valencia commercial catch;1956;884;commercial catch;Mediterannean Sea;Kg          
Albufera de Valencia commercial catch;1957;2833;commercial catch;Mediterannean Sea;Kg          
Albufera de Valencia commercial catch;1958;402;commercial catch;Mediterannean Sea;Kg          
Albufera de Valencia commercial catch;1959;6637;commercial catch;Mediterannean Sea;Kg          
Albufera de Valencia commercial catch;1960;9453;commercial catch;Mediterannean Sea;Kg          
